unigram chi:
bowl 9
stone 9
alright 9
kingsatay 9
pick 9
sandwich 9
held 9
banana 9
reserv 9
cheer 9
game 9
word 9
step 9
few 9
citylink 9
tak 9
steam 9
tire 9
~ 9
pure 9
blous 9
class 9
sightse 8
addit 8
directli 8
zero 8
right 8
journey 8
water 8
oop 8
quarter 8
priest 8
think 8
brochur 8
vicin 8
anywher 8
anytim 8
'd 8
huge 8
orchard 8
least 8
cover 8
raffl 8
fun 8
itself 8
civilis 8
into 8
e 8
edg 8
vehicl 8
nearest 8
rout 8
wetland 8
%oh 8
told 7
close-bi 7
mo 7
alreadi 7
frankli 7
serangoon 7
northeast 7
coast 7
concierg 7
howev 7
against 7
catch 7
condit 7
wan 7
altogeth 7
consid 7
financi 7
two-stori 7
nearbi 7
foot 7
presum 7
smell 7
effici 7
airlin 7
wilki 7
eye 7
seaward 7
hurri 7
ye 7
basi 7
northbound 7
great 7
shorter 7
alexandra 7
sight 7
've 7
run 7
similar 7
elsewher 7
delay 7
underpa 7
conduc 7
mode 7
eco 7
timet 7
westward 7
si 7
haji 7
field 7
straightaway 7
probabl 7
stat 7
nurseri 6
upsid 6
whose 6
tenni 6
prize 6
dri 6
midway 6
riverboat 6
recommend 6
mi 6
honey 6
ceremoni 6
japan 6
fix 6
ticklish 6
expo 6
timah 6
marin 6
webcam 6
cathol 6
roller 6
scuba 6
piti 6
ann 6
belli 6
human 6
sensat 6
har 6
dead 6
fox 6
colleg 6
float 6
pipe 6
shisha 6
test 6
nv 6
geometr 6
skin 6
bukit 6
stamford 6
behav 6
extrem 6
intest 6
purpos 6
chit 6
s. 6
mat 6
dive 6
african 6
riversid 6
monitor 6
teller 6
keng 6
migrat 6
caught 6
crack 6
wireless 6
meanwhil 6
perch 6
obstacl 6
stain 6
jazz 6
borrow 6
acceler 6
pop 6
blow 6
mon 6
server 6
surviv 6
uni 6
al 6
as 6
one-altitud 6
alo 6
fan 6
strang 6
condition 6
christian 6
ver 6
memor 6
pond 6
fo 6
brid 6
yo 6
token 6
bistro 6
nightspot 6
bhg 6
lavend 6
aviari 6
c 6
last 6
merlion 6
dancer 6
kart 6
quintet 6
loop 6
end-up 6
decor 6
terrac 6
landmark 6
appli 6
falcon 6
either 6
indiantown 6
volleybal 6
um 6
aerial 6
chat 6
scrape 6
parlor 6
draw 6
marri 6
fortun 6
survey 6
win 6
motor 6
gambl 6
lizard 6
sir 6
ethnic 6
hock 6
double-deck 6
thrill 6
skateboard 6
gear 6
bel 6
combin 6
won 6
niec 6
bicycl 6
slowli 6
youngster 6
japanes 6
underground 6
birder 6
latest 6
skill 6
revers 6
captur 6
twitter 6
blade 6
showtim 6
waterfal 6
quiet 6
adrenalin 6
elizabeth 5
hostel 5
best 5
amoy 5
ice 5
crystal 5
box 5
hyatt 5
fli 5
spa 5
product 5
accessori 5
q 5
main 5
again 5
forget 5
sand 5
y. 5
jade 5
church 5
light 5
york 5
septemb 5
competit 5
sister 5
new 4
hop 4
k 4
maxwel 4
r 4
substat 4
bencoolen 4
garland 4
strictli 4
sub 4
sit-in 4
option 4
bridg 4
march 4
sight-se 4
sit 4
recept 4
categori 4
ura 4
entir 4
bayview 4
almost 4
high-end 4
militari 3
brought 3
flora 3
buidl 3
exclus 3
network 3
ra 3
renew 3
consol 3
technic 3
recreat 3
menu 3
gaug 3
nicer 3
tang 3
expat 3
that-th 3
wrap 3
storag 3
techi 3
decid 3
team 3
brave 3
up-market 3
commonli 3
crazi 3
suntec 3
cold 3
courag 3
individu 3
funki 3
yup 3
recom 3
lap 3
enclos 3
alley 3
track 3
ornament 3
slot 3
leather 3
ju 3
former 3
non-brand 3
pertain 3
westin 3
republ 3
& 3
brais 3
compon 3
al-abrar 3
newli 3
full 3
search 3
u.r.s. 3
brisk 3
bollywood 3
lifestyl 3
w 3
centrepoint 3
cosmet 3
freebi 3
mountain 3
km 3
reput 3
cell 3
keychain 3
pedder 3
weaver 3
chose 3
gardenasia 3
sold 3
capella 3
schedul 3
perpetu 3
pedestrian 3
vietnames 3
often 3
inncrowd 3
religion 3
z 3
hospit 3
introduc 3
worn 3
fresh 3
wave 3
facebook 3
residenti 3
gent 3
che 3
brasswar 3
non-muslim 3
thirsti 3
in-right 3
farm 3
li 3
ntuc 3
beneath 3
consum 3
finest 3
indiatown 3
herself 3
waist 3
ipad 3
nature-r 3
transcript 3
hm 3
jasmin 3
zouk 3
%restaur 3
pahlawan 3
furnitur 3
encourag 3
support 3
display 3
nature-rel 3
futur 3
dna 2
fairmont 2
urban 2
shall 2
object 2
mouth 2
letter 2
teck 2
nephew 2
con 2
bussorah 2
tiong 2
sever 2
wheel 2
redevelop 2
delight 2
els 2
nicest 2
n. 2
slope 2
celebr 2
talk 2
shown 2
oni 2
sport 2
mandarin 2
hdb 2
clip 2
author 2
assist 2
campbel 2
exercis 2
victori 2
clar 2
sharp 2
sunbath 2
valley 2
binocular 2
orient 2
bahru 2
ta 2
straightforward 2
casual 2
pacif 2
pleasant 2
minor 2
teen 2
simpl 2
lookout 2
procedur 2
behind 2
india-in 2
lim 2
ambianc 2
shape 2
leg 2
becom 2
vacat 2
marriott 2
honestli 2
playground 2
g 2
bet 2
afraid 2
nearer 2
key 2
imbiah 2
keen 2
goodwood 2
broad 2
scott 2
hi 2
concret 1
transcrib 1
m. 1
feedback 1
excel 1
lazi 1
himalayan 1
hay 1
chair 1
waiv 1
trial 1
excelsior 1
teluk 1
wide 1
non-stop 1
butterfli 1
review 1
equitoria 1
fascin 1
descript 1
smile 1
on-go 1
male 1
if-do 1
oxford 1
b 1
emblem 1
sector 1
half-lion 1
refurbish 1
stimul 1
landscap 1
download 1
click 1
everywher 1
feast 1
half-fishtail 1
nepales 1
inexpens 1
laser 1
scienc 1
peninsular 1
habitat 1
foothil 1
shopper 0
hangout 0
prayer 0
hectic 0
dairi 0
stick 0
goat 0
immers 0
ferri 0
