unigram chi:
soy 107
gin 107
dough 107
sound 107
oil 107
chop 107
pand 107
murtabak 107
pul 107
foam 107
fing 107
liqu 107
sardin 107
spoon 107
fragr 107
charco 107
ging 107
stock 107
tomato 107
breast 107
thigh 107
orangey 107
chapatt 107
satay 107
grat 107
rememb 107
bal 106
someon 106
liv 106
gravy 105
photograph 105
rojak 105
half 104
pict 104
join 103
sho 103
begin 103
crab 102
fre 101
specy 100
chines 100
bread 100
check 100
lrt 100
malay 100
endem 100
chimpanz 100
denomin 100
til 100
far 100
person 100
benefit 100
ut 100
shipwreck 100
tap 100
tied 100
singpost 100
shel 100
ind 100
rat 99
discount 99
elev 99
permit 97
cuisin 97
serv 97
unus 97
manufact 97
per 97
body 97
orchid 96
ordin 95
peak 95
harbourfront 95
tot 94
yet 94
produc 94
footprint 94
fab 94
perak 94
abov 94
larg 94
jewellery 94
broth 94
dry 93
internet 93
televid 93
sess 93
ac 93
pool 93
shelt 93
im 91
when 91
circ 90
vary 90
much 89
down 89
repres 89
fit 88
with 88
eat 88
year 87
hand 86
seash 85
wear 85
assum 85
jean 85
burg 85
avail 85
wheth 85
chain 85
skip 85
touch 85
squ 85
climbmax 85
overnight 85
reservoir 85
suit 85
doubl 85
espec 85
transport 85
settl 85
jam 85
nin 84
level 84
easy 83
old 83
dip 83
chinatown 83
ad 83
afford 82
resta 81
their 81
priv 81
picn 81
prep 81
quiet 81
understand 81
joint 81
lat 80
vivo 80
cak 80
naan 80
pep 80
carrot 80
pancak 80
stop 79
tast 79
off 79
fiv 78
top 77
midnight 77
saw 77
court 77
weekday 77
budget 76
shuttl 76
shop 75
twenty 75
extr 75
tram 75
asid 74
confus 74
seem 74
coin 74
random 74
leftov 74
whoev 74
dispos 74
facad 74
fad 74
heavy 74
remov 74
beforehand 74
overweight 74
spend 74
snap 74
bin 74
rul 74
rack 74
clark 74
elig 74
shrek 74
offend 74
view 74
obvy 74
rac 73
many 73
convert 73
eight 73
herit 73
height 72
insid 72
exhibit 72
horticult 71
kitch 71
wed 71
man 71
bathrob 71
channel 71
restroom 71
breezy 71
towel 71
flat 71
remot 71
hid 71
workst 71
compat 71
slip 71
jacuzz 71
walk 71
cot 71
vc 71
lobby 71
heart 70
such 70
girl 70
worry 70
comfort 70
straight 70
tv 69
short 69
facil 69
subtl 68
goddess 68
cor 68
coo 68
born 68
kandah 68
cowboy 68
row 68
today 68
spacy 68
ant 68
everlast 68
influ 68
strait 68
auspicy 68
poor 68
microphon 68
engrav 68
6 68
ded 68
dragon 68
labo 68
8 68
learnt 68
po 68
thirty 68
occupy 68
zhu 68
phoenix 68
cap 68
rickshaw 68
cubic 68
pagod 68
est 68
complex 67
mid 67
for 67
was 67
happy 67
flash 67
husband 67
start 67
kind 67
singl 67
party 67
numb 66
eng 65
saik 65
wa 65
cow 65
malays 65
pasir 65
split 65
jungl 65
complet 65
kid 65
arab 65
desir 65
suspect 65
overview 65
ca 65
swim 65
tig 65
outr 65
evolv 65
ab 65
ris 65
abl 65
titbit 65
tongu 65
everyon 65
indones 65
curv 65
allot 65
upward 65
crisscross 65
keong 65
newest 65
infrastruct 65
fro 65
quantr 65
blangah 65
branch 65
between 64
toward 64
sid 64
mind 63
soup 63
ev 63
littl 63
alloc 63
big 63
she 63
thousand 62
stand 62
chin 61
somerset 61
hokky 60
tayoh 60
three 60
rain 60
jeal 60
kilomet 60
snack 60
noun 60
hol 60
eg 60
oper 60
myself 60
develop 60
confirm 60
workshop 60
program 60
medicin 60
dant 60
find 60
abund 60
bark 60
moth 60
propos 60
repair 60
fibr 60
ling 60
chapat 60
cury 60
nick 60
send 60
commun 60
cho 60
kerbau 60
grow 60
jok 60
adv 60
leak 60
detail 60
fourteen 59
stuff 59
hal 58
30 58
sunday 58
quay 58
kranj 58
4 58
smal 58
everyday 58
sweet 58
lifeguard 58
reop 58
bef 58
gat 58
seventy 57
tel 57
lif 57
six 57
reg 57
met 56
paragon 56
caf 56
sixty 56
plant 56
bout 56
wouldn 56
fastest 56
traff 56
nat 56
process 56
tal 56
tao 56
world 55
zoo 54
buffet 54
lov 54
transit 54
stip 54
cut 54
whichev 54
tempt 54
bed 54
bev 54
long 53
prawn 52
sug 52
sling 52
pierc 52
cocktail 52
maj 52
org 52
smoothy 52
boil 52
skew 52
pan 52
dark 52
oi 52
symbol 52
vineg 52
caus 52
guy 52
kay 52
rid 52
includ 52
leopard 52
vend 52
match 52
air 51
my 51
the 51
dot 51
fromet 51
ident 51
address 51
ord 51
to 51
brief 51
kembang 51
mrts 51
promenad 51
hawk 51
rough 51
sccren 51
interconnect 51
wond 50
outram 50
tim 50
philippin 50
won 50
rapid 50
kuo 49
preview 49
receiv 49
glob 49
bar 49
giraff 49
sarawak 49
craft 49
prison 49
hunt 49
foy 49
scen 49
thro 49
cag 49
than 49
stair 49
breath 49
tid 49
jun 49
textil 49
return 49
fountain 49
gold 49
wov 49
loan 49
calend 49
alight 49
zip 49
siz 49
insight 49
mudskip 49
oket 49
templ 49
upstair 49
largest 49
supply 49
export 49
thirteen 49
lift 49
showcas 48
tank 48
condit 48
period 48
safar 48
robertson 47
hungrygowh 47
arrow 47
colem 47
perpendicul 47
chewy 47
pray 47
muthu 47
pract 47
yo 47
amar 47
ba 47
un 47
penin 47
instead 47
juny 47
patch 46
inform 46
requir 46
icon 46
somebody 46
low 46
guess 46
lik 46
marry 46
own 46
muse 45
travel 45
appetit 45
why 45
peopl 45
gonn 45
noodl 45
break 44
hortpark 44
meal 43
giv 43
vert 43
are 43
dessert 43
trail 43
camer 43
continu 43
then 42
it 42
eighteen 42
weekend 42
first 42
mor 42
island 42
vil 42
ric 42
chant 42
lynnet 42
work 41
fin 41
isn 41
hollywood 41
mangrov 41
bad 41
souvenir 41
neat 41
photo 41
na 41
bangl 41
skylin 41
deepaval 41
conveny 41
stroll 41
av 41
depart 41
feel 41
plaz 41
sep 41
collect 41
highlight 41
shut 41
monkey 41
cabin 41
charact 41
mir 41
se 41
cantilev 41
thought 41
lorax 41
about 41
next 40
pork 40
now 40
around 40
tasty 40
muslim 40
plain 40
enjoy 39
until 39
exclud 39
fir 39
mus 39
everyth 39
esplanad 39
singap 39
stretch 39
destin 39
mon 39
loc 39
what 39
two 39
auth 39
april 39
nee 38
siloso 38
correct 38
noth 38
henn 38
paint 38
tre 38
bird 38
orang 37
they 37
ear 37
market 37
screen 37
expect 37
of 37
trad 37
should 37
school 36
glass 36
me 36
attract 36
hom 36
how 36
beach 36
anim 36
instruct 36
seen 36
though 36
in 36
bhud 36
ocbc 36
50 36
joseph 36
padang 36
institut 36
middl 36
mar 36
mal 36
say 36
rush 36
pass 36
shady 36
weight 36
guest 36
saint 36
sentos 36
point 36
crack 36
quest 36
ki 36
fifteen 36
chi 36
aft 36
watch 36
mediter 36
mil 36
roam 36
away 35
interest 35
child 35
southwest 35
mod 35
woodland 35
marymount 35
mous 35
chu 35
lorong 35
tran 35
intercross 35
cent 35
warm 34
forgot 34
undernea 34
flor 34
is 34
port 34
pathway 34
colo 34
carry 34
coconut 34
coupl 34
toilet 34
sun 34
themselv 34
delicy 34
interact 34
fant 34
structure 34
win 34
cram 34
phon 34
lock 34
ask 34
outsid 34
sh 34
toiletry 34
rooftop 34
leaf 34
estim 34
sometim 33
anym 33
preserv 33
night 33
ceram 33
wood 33
seafood 33
tour 33
extery 33
palac 33
divid 33
particul 33
peculi 33
spectacul 33
wow 33
storey 33
tradit 32
country 32
who 32
v 32
cours 32
fle 32
plac 32
express 32
sav 32
turn 32
wha 32
lucky 32
togeth 32
riv 31
rang 31
had 31
intern 31
intend 31
milk 31
easiest 31
may 31
quot 31
get 31
gen 31
brit 31
lion 31
sel 31
sing 31
labrad 31
snorkel 31
four 30
second 30
would 30
publ 30
city 30
ah 30
excit 30
del 30
park 30
apprecy 30
attach 30
girlfriend 30
buddh 29
hold 29
rangoon 29
wrong 29
thes 29
unfortun 29
wak 29
invit 29
nop 29
rock 29
yourself 29
par 29
amb 29
ok 29
mosqu 29
enough 29
song 29
tem 29
sect 29
hard 29
p 29
troublesom 29
hir 29
sen 29
popul 29
thou 29
expens 29
span 29
pronount 29
buffalo 29
tru 29
inst 29
spelt 29
front 29
bea 29
energet 29
veeramakaliam 29
tattoo 29
ho 29
highest 29
mass 29
end 28
lan 28
ther 28
suggest 28
left 28
any 28
show 28
supermarket 28
noon 28
at 28
dist 28
follow 28
also 28
pretty 28
see 28
stay 28
past 27
nic 27
doing 27
not 27
slow 27
a 27
fish 27
want 26
accommod 26
plast 26
way 26
no 26
plu 26
ex 26
rest 26
definit 26
plat 26
block 26
leb 26
must 25
becaus 25
mean 25
modern 25
diff 25
along 25
healthy 25
qual 25
black 25
trip 25
kampong 25
read 25
cabl 25
glam 25
through 25
gadget 25
hotel 25
most 25
cre 25
set 25
onward 25
cup 25
ide 25
plan 25
bay 25
bring 25
itin 25
piec 25
bedok 24
typ 24
eastern 24
tapir 24
rod 24
cool 24
underw 24
perm 24
didn 24
colon 24
s 24
googl 24
vis 24
nineteen 24
perhap 24
by 24
cloth 24
renov 24
h 24
mongol 24
temp 24
gav 24
decemb 24
buddy 23
rel 23
nev 23
relax 23
them 23
goe 23
allerg 23
busy 23
geek 23
subject 23
if 23
contradict 23
bound 23
diet 23
pretend 23
slightest 23
sceenery 23
mag 23
chinato 23
enclos 23
deity 23
concert 23
backpack 23
very 23
downward 23
hasn 23
goal 23
cultu 23
feet 23
lit 23
without 23
club 23
commod 23
sec 23
altern 23
brick 23
crustac 23
trait 23
stud 23
bet 23
gest 23
periph 23
ci 23
monk 23
protect 23
partn 23
lai 22
trengganu 22
chun 22
rail 22
ni 22
wher 22
3 22
ov 22
you 22
fac 22
rath 22
dec 22
okay 22
yu 22
part 22
alon 22
thos 22
bump 22
ch 22
yap 22
wer 22
resid 22
look 21
ma 21
god 21
sou 21
childr 21
feat 21
lagoon 21
thank 21
westbound 21
closest 21
t 21
oh 21
sri 21
styl 21
peranak 21
us 21
let 21
siang 21
termin 21
sorry 20
net 20
hurt 20
warn 20
dumpl 20
wash 20
hoon 20
raw 20
furam 20
bao 20
steak 20
fair 20
bee 20
dorm 20
beer 20
thi 20
tha 20
hai 20
right 20
bottom 20
posh 20
sticky 20
potato 20
dim 20
learn 20
univers 20
cab 20
kong 20
el 20
profil 20
pung 20
thing 20
district 20
pastry 20
savoury 20
burst 20
mutton 20
hainanes 20
puree 20
garl 20
wildl 20
ar 20
tight 20
juic 20
shangr 20
sum 20
sngapore 20
pao 20
porcelain 20
reason 20
believ 20
jel 20
bak 20
both 20
xiao 20
vot 20
funny 20
kway 20
saag 20
bu 20
lemon 20
ago 20
tandoor 20
go 20
peanut 20
cheaply 20
meet 20
bakery 20
bunch 20
la 20
could 20
counterpart 20
teow 20
surpr 20
upset 20
sesam 20
quit 20
yam 20
otah 20
goreng 20
soft 20
custard 20
vad 20
bud 20
barbequ 20
deck 19
l 19
whit 19
toa 19
y 19
vivoc 19
conv 19
swissotel 19
hap 19
hav 19
dear 19
depend 19
visit 19
cal 19
heard 19
basket 19
sar 19
hungry 19
august 19
or 19
skypark 19
southern 19
common 19
dur 19
bit 19
café 19
uh 19
anyth 19
payoh 19
nobody 19
skyrid 19
which 19
sa 19
penny 19
stal 19
spec 18
kui 18
exquisit 18
hoi 18
whil 18
do 18
perform 18
congreg 18
just 18
post 18
transform 18
heav 18
triv 18
reflexolog 18
kebab 18
favorit 18
outlet 18
canteen 18
an 18
spruced 18
good 18
did 18
intermingl 18
ding 18
blend 18
gril 18
everybody 18
ge 18
accomod 18
lee 18
tai 18
drop 18
tonight 18
staff 18
hindu 18
avoid 18
hm 18
fung 18
oldest 17
bank 17
too 17
took 17
buloh 17
maxim 17
deal 17
cas 17
boat 17
5 17
story 17
basah 17
him 17
whol 17
real 17
electron 17
access 17
f 17
ll 17
out 17
system 17
statu 17
besid 17
know 17
although 17
veget 17
limit 17
fif 16
ro 16
necess 16
com 16
rent 16
som 16
head 16
town 16
mak 16
huh 16
third 16
doesn 16
pag 16
th 16
reach 16
sunge 16
up 16
young 16
tri 16
fact 16
studio 15
re 15
don 15
m 15
doe 15
fest 15
corn 15
jurong 15
wait 15
car 15
near 15
blu 15
fash 15
exampl 15
clos 15
mom 15
libr 15
lot 15
al 15
list 15
door 15
resort 15
connect 15
suprem 15
fullerton 15
wil 15
fast 15
flow 15
ooh 15
land 15
migr 15
sint 15
casino 15
mainland 15
somewh 15
nge 15
underpass 15
spel 14
bra 14
saturday 14
sago 14
said 14
tallest 14
telok 14
gift 14
barhop 14
birthday 14
comp 14
co 14
junct 14
road 14
aw 14
u 14
fam 14
sant 14
famy 14
stil 14
parajump 14
sea 14
someth 14
otherw 14
gam 14
ready 14
furth 14
cha 14
sort 14
conduc 14
perfect 14
holiday 14
spot 14
our 14
faun 14
northwest 14
less 14
but 14
bug 14
each 13
hang 13
ment 13
und 13
and 13
nibbl 13
be 13
bot 13
favourit 13
non 13
term 13
hum 13
ay 13
miss 13
art 13
mariam 13
climb 13
keep 13
holland 13
i 13
wel 13
lead 13
museum 13
new 12
dolphin 12
dol 12
tech 12
loft 12
occas 12
laptop 12
wal 12
lorry 12
spe 12
sam 12
pro 12
elab 12
across 12
schedules 12
on 12
madagasc 12
answ 12
sur 12
might 12
tanjong 12
toy 12
we 12
che 12
sip 12
act 12
movy 12
rec 12
scary 12
sp 12
southward 12
certain 12
megazip 12
cult 11
went 11
bas 11
n 11
exact 11
that 11
gard 11
anoth 11
play 11
belt 11
fun 11
um 11
can 11
so 11
suppos 11
bought 11
yah 11
oth 11
pardon 10
got 10
scenery 10
opposit 10
kio 10
mayb 10
son 10
quick 10
eh 10
ang 10
harbo 10
her 10
area 10
sup 10
peninsul 10
within 10
pleas 10
shrimps 10
exceiv 10
july 10
light 10
unless 10
arcad 10
hmm 10
wet 10
he 10
cheapest 9
atr 9
marin 9
ston 9
hong 9
midrang 9
tir 9
rol 9
round 9
eighty 9
friend 9
sufficy 9
ground 9
bowl 9
comex 9
hind 9
alright 9
kingsatay 9
sandwich 9
held 9
lim 9
steam 9
word 9
step 9
citylink 9
few 9
camera 9
reserv 9
wism 9
blous 9
banan 9
class 9
k 8
vicin 8
broch 8
cov 8
civil 8
wat 8
journey 8
vehic 8
oop 8
priest 8
quart 8
think 8
hug 8
anytim 8
sights 8
zero 8
simpl 8
orchard 8
least 8
itself 8
into 8
anywh 8
e 8
edg 8
nearest 8
rout 8
wetland 8
addit 8
raffl 8
told 7
mo 7
wann 7
hop 7
simil 7
already 7
serangoon 7
coast 7
concierg 7
wilky 7
howev 7
against 7
catch 7
haj 7
altogeth 7
consid 7
smel 7
fly 7
cat 7
elsewh 7
ey 7
nearby 7
presum 7
ve 7
efficy 7
airlin 7
pick 7
seaward 7
hurry 7
underp 7
ye 7
foot 7
alexandr 7
northbound 7
prob 7
run 7
gre 7
agr 7
northeast 7
delay 7
eco 7
frank 7
timet 7
westward 7
si 7
field 7
straightaway 7
nursery 6
upsid 6
street 6
altitud 6
mem 6
midway 6
recommend 6
mi 6
skateboard 6
honey 6
ceremony 6
fix 6
pip 6
tok 6
expo 6
bicyc 6
timah 6
webcam 6
cathol 6
priz 6
pity 6
capt 6
har 6
dead 6
fox 6
colleg 6
d 6
ethn 6
test 6
nv 6
niec 6
skil 6
skin 6
bukit 6
div 6
stamford 6
behav 6
extrem 6
intest 6
purpos 6
chit 6
mat 6
accel 6
combin 6
riversid 6
keng 6
caught 6
surv 6
wireless 6
meanwhil 6
perch 6
going 6
stain 6
jazz 6
borrow 6
twit 6
pop 6
scub 6
blad 6
eith 6
blow 6
mot 6
pond 6
as 6
alo 6
fan 6
tickl 6
ver 6
pur 6
fo 6
brid 6
thrilling 6
bistro 6
nightspot 6
parl 6
kart 6
bhg 6
lavend 6
c 6
last 6
whos 6
quintet 6
loop 6
terrac 6
landmark 6
falcon 6
indiantown 6
volleybal 6
chat 6
scrape 6
draw 6
introduc 6
monit 6
sens 6
obstac 6
shish 6
fortun 6
survey 6
apply 6
gambl 6
lizard 6
sir 6
afr 6
hock 6
gear 6
bel 6
jap 6
aer 6
geomet 6
avy 6
japanes 6
strange 6
underground 6
latest 6
revers 6
youngst 6
showtim 6
merl 6
waterfal 6
adrenalin 6
riverbo 6
christians 6
hostel 5
best 5
ic 5
amoy 5
sight 5
box 5
spa 5
q 5
hyat 5
being 5
again 5
forget 5
sand 5
elizabe 5
church 5
ur 5
york 5
septemb 5
sist 5
jad 5
competit 5
cryst 5
 4
opt 4
r 4
garland 4
strictly 4
agree 4
sub 4
bayview 4
bridg 4
march 4
subst 4
maxwel 4
entir 4
bencool 4
almost 4
brought 3
buidl 3
lap 3
network 3
ra 3
renew 3
consol 3
compon 3
menu 3
gaug 3
weav 3
brav 3
brassw 3
tang 3
perpet 3
pedest 3
wrap 3
support 3
inncrowd 3
wav 3
techy 3
techn 3
decid 3
ped 3
team 3
crazy 3
furnit 3
suntec 3
waist 3
cold 3
main 3
yup 3
recom 3
funky 3
individ 3
alley 3
track 3
slot 3
enco 3
pertain 3
leath 3
westin 3
bollywood 3
republ 3
chos 3
relig 3
consum 3
abr 3
benea 3
search 3
capell 3
brisk 3
cel 3
lifestyl 3
recr 3
w 3
centrepoint 3
pahlaw 3
mountain 3
km 3
reput 3
keychain 3
jasmin 3
sold 3
milit 3
fut 3
ful 3
ju 3
cour 3
vietnames 3
z 3
hospit 3
categ 3
exp 3
worn 3
fresh 3
facebook 3
herself 3
gent 3
thirsty 3
farm 3
li 3
ntuc 3
gardenas 3
finest 3
indiatown 3
orna 3
ipad 3
zouk 3
cosmet 3
oft 3
freeby 3
display 3
playground 2
transcrib 2
dna 2
gott 2
fairmont 2
object 2
teck 2
nephew 2
con 2
bussorah 2
tiong 2
wheel 2
redevelop 2
delight 2
els 2
nicest 2
celebr 2
talk 2
shown 2
ory 2
honest 2
ony 2
slop 2
sport 2
amby 2
mandarin 2
hdb 2
pac 2
assist 2
marriot 2
binocul 2
mou 2
clar 2
sunbath 2
valley 2
bahru 2
straightforward 2
teen 2
sharp 2
scot 2
lookout 2
campbel 2
behind 2
exerc 2
his 2
shap 2
shal 2
proc 2
vict 2
broad 2
leg 2
becom 2
g 2
keen 2
clip 2
afraid 2
min 2
urb 2
key 2
imbiah 2
goodwood 2
schedule 2
vac 2
sci 1
concret 1
describ 1
las 1
feedback 1
excel 1
habit 1
lazy 1
wo 1
hay 1
chair 1
waiv 1
teluk 1
review 1
oxford 1
fishtail 1
fascin 1
refurb 1
b 1
emblem 1
stim 1
himalay 1
equitor 1
butterf 1
everywh 1
landscap 1
download 1
click 1
wid 1
feast 1
excelsy 1
nepales 1
inexpend 1
smil 1
foothil 1
hect 0
hangout 0
dairy 0
stick 0
goat 0
immers 0
fer 0
